mutpb,cxpb,max_hard,max_medium,max_easy,curve_hard,curve_medium,curve_easy,timestamp_sec
0.07225586980210989,0.39289343505418467,-3557.06,-929.4,-43.92,"[-3799.56, -3799.56, -3727.99, -3727.99, -3719.68, -3713.34, -3704.81, -3704.81, -3701.69, -3700.56, -3694.99, -3693.3, -3689.61, -3687.79, -3682.64, -3673.9, -3673.9, -3673.9, -3666.9, -3666.9, -3663.37, -3663.37, -3658.27, -3658.27, -3658.27, -3653.61, -3647.72, -3637.45, -3637.45, -3628.81, -3628.81, -3628.14, -3625.41, -3619.8, -3616.48, -3616.48, -3598.64, -3598.64, -3594.62, -3587.12, -3587.12, -3587.12, -3575.06, -3571.52, -3564.12, -3560.8, -3560.8, -3560.8, -3560.6, -3560.58, -3557.28, -3557.28, -3557.06, -3557.06, -3557.06, -3557.06, -3557.06, -3557.06, -3557.06, -3557.06, -3557.06]","[-1042.67, -1037.65, -1029.08, -1015.77, -1014.96, -999.01, -998.44, -998.44, -986.97, -986.97, -986.97, -982.06, -982.06, -979.88, -979.64, -978.58, -978.58, -978.07, -978.07, -976.87, -973.32, -973.32, -970.02, -969.88, -966.89, -965.54, -964.4, -964.35, -962.15, -961.74, -960.56, -959.08, -959.08, -959.08, -959.08, -959.08, -959.08, -959.08, -956.27, -950.0, -950.0, -947.91, -946.61, -943.95, -943.41, -941.55, -937.07, -937.07, -937.07, -934.66, -931.96, -931.96, -931.96, -929.56, -929.4, -929.4, -929.4, -929.4, -929.4, -929.4, -929.4]","[-81.1, -78.21, -70.93, -70.93, -70.93, -65.32, -59.56, -58.44, -58.44, -57.96, -57.96, -57.96, -57.96, -57.96, -57.96, -51.72, -51.49, -51.49, -50.6, -50.6, -50.6, -50.38, -50.38, -50.38, -50.38, -50.38, -50.38, -50.38, -50.38, -50.38, -50.38, -50.38, -50.38, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -43.92, -43.92]",1761039174.5036385
0.8854155371406459,0.940010476675863,-3468.49,-930.3,-43.92,"[-3799.56, -3783.2, -3743.6, -3743.6, -3723.37, -3711.74, -3684.81, -3684.81, -3654.22, -3649.53, -3640.6, -3588.55, -3588.55, -3588.55, -3588.55, -3573.2, -3562.49, -3562.49, -3562.49, -3549.22, -3549.22, -3543.42, -3535.26, -3535.26, -3535.26, -3535.26, -3523.81, -3523.81, -3513.24, -3513.24, -3513.24, -3513.24, -3498.97, -3498.97, -3498.97, -3498.97, -3498.97, -3491.33, -3484.63, -3484.63, -3484.63, -3473.02, -3473.02, -3473.02, -3473.02, -3473.02, -3473.02, -3473.02, -3472.28, -3472.28, -3472.28, -3472.28, -3472.28, -3468.49, -3468.49, -3468.49, -3468.49, -3468.49, -3468.49, -3468.49, -3468.49]","[-1042.67, -1032.26, -1029.25, -1013.27, -1003.16, -997.71, -991.12, -989.43, -978.24, -978.24, -978.24, -970.59, -970.59, -962.81, -955.22, -955.22, -953.99, -953.99, -953.99, -953.99, -953.99, -951.56, -950.5, -950.5, -950.5, -950.5, -950.01, -947.55, -947.55, -947.55, -947.55, -947.55, -946.26, -944.37, -944.37, -944.37, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.55, -931.4, -931.4, -931.4, -931.4, -931.4, -931.4, -931.4, -930.3, -930.3, -930.3]","[-81.1, -81.1, -74.95, -67.27, -61.85, -59.78, -53.54, -50.37, -45.95, -45.95, -45.95, -45.95, -45.25, -44.36, -44.36, -44.36, -44.36, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761039804.4876196
0.11805378630823943,0.2116642280417738,-3485.62,-929.4,-43.92,"[-3799.56, -3799.56, -3799.56, -3799.56, -3777.63, -3765.42, -3716.56, -3716.56, -3716.56, -3711.23, -3691.62, -3688.32, -3688.32, -3687.63, -3676.45, -3669.84, -3656.91, -3650.36, -3650.36, -3645.12, -3639.73, -3639.73, -3610.75, -3610.75, -3600.92, -3593.05, -3593.05, -3593.05, -3588.0, -3571.95, -3571.95, -3568.2, -3568.2, -3568.2, -3565.59, -3546.88, -3546.88, -3546.88, -3546.88, -3533.88, -3533.88, -3533.88, -3533.88, -3523.56, -3523.56, -3521.09, -3519.96, -3516.53, -3514.9, -3514.9, -3504.13, -3504.03, -3504.03, -3486.75, -3486.75, -3486.07, -3486.07, -3485.62, -3485.62, -3485.62, -3485.62]","[-1042.67, -1042.67, -1039.99, -1032.35, -1032.35, -1026.87, -1026.87, -1026.44, -1025.94, -1017.48, -1017.39, -1012.63, -1012.63, -1012.63, -1009.23, -1009.23, -1007.47, -1002.74, -999.65, -997.37, -992.98, -987.57, -987.57, -987.57, -985.4, -982.47, -982.47, -981.87, -981.87, -979.17, -979.1, -967.81, -965.26, -965.26, -965.26, -962.55, -959.52, -958.91, -954.1, -954.1, -954.1, -953.94, -951.69, -951.69, -947.1, -947.1, -947.1, -947.1, -946.94, -945.98, -942.69, -942.69, -939.87, -939.87, -932.46, -932.46, -932.46, -931.94, -929.4, -929.4, -929.4]","[-81.1, -81.1, -79.24, -75.09, -68.71, -68.71, -62.6, -62.6, -62.6, -57.25, -57.25, -57.25, -52.74, -52.74, -52.74, -52.74, -52.74, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.48, -46.27, -46.27, -44.14, -44.14, -44.14, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761039833.0172923
0.6876230996977569,0.5605726810699336,-3503.91,-917.76,-43.92,"[-3799.56, -3799.56, -3777.16, -3771.86, -3724.41, -3724.41, -3724.41, -3675.7, -3667.41, -3661.14, -3659.61, -3659.61, -3659.61, -3635.49, -3631.11, -3611.47, -3587.69, -3587.69, -3587.69, -3587.69, -3587.69, -3580.55, -3580.55, -3579.82, -3572.0, -3572.0, -3571.78, -3571.1, -3561.66, -3561.66, -3561.66, -3561.66, -3561.66, -3561.66, -3561.66, -3561.66, -3559.6, -3552.65, -3546.3, -3538.49, -3521.05, -3517.47, -3517.47, -3514.33, -3510.08, -3510.08, -3510.08, -3505.71, -3505.71, -3505.71, -3505.71, -3503.91, -3503.91, -3503.91, -3503.91, -3503.91, -3503.91, -3503.91, -3503.91, -3503.91, -3503.91]","[-1042.67, -1032.24, -1022.73, -1022.73, -1016.83, -1006.0, -1006.0, -993.28, -982.06, -981.34, -981.34, -981.34, -977.1, -977.1, -977.1, -977.1, -973.48, -964.34, -964.34, -960.61, -957.68, -955.76, -953.1, -952.63, -952.63, -952.63, -947.09, -943.49, -943.49, -942.81, -942.81, -942.81, -942.81, -942.81, -938.89, -938.89, -938.89, -938.89, -936.73, -936.73, -936.73, -926.95, -926.95, -926.95, -926.95, -926.95, -926.95, -926.95, -926.95, -926.95, -926.95, -923.24, -923.24, -923.24, -920.37, -920.37, -920.37, -920.37, -920.37, -918.21, -917.76]","[-81.1, -76.6, -75.1, -73.53, -68.31, -64.46, -64.46, -55.83, -55.83, -49.59, -49.59, -49.59, -45.95, -45.95, -45.95, -45.47, -45.47, -45.47, -45.47, -45.47, -45.47, -44.36, -44.36, -44.14, -44.14, -44.14, -44.14, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761040048.357751
0.24248768612372174,0.9137713016963055,-3411.06,-895.28,-43.92,"[-3799.56, -3785.03, -3760.19, -3742.24, -3729.94, -3696.27, -3669.23, -3667.45, -3647.21, -3647.21, -3646.45, -3643.42, -3622.22, -3622.22, -3614.4, -3597.24, -3595.21, -3588.3, -3574.0, -3568.86, -3565.08, -3546.56, -3546.56, -3546.56, -3544.54, -3542.98, -3542.53, -3539.85, -3535.64, -3515.76, -3515.09, -3515.09, -3510.34, -3503.92, -3495.67, -3481.81, -3478.25, -3476.45, -3476.45, -3476.45, -3474.45, -3474.45, -3472.88, -3454.41, -3451.51, -3439.63, -3436.27, -3436.04, -3426.23, -3426.01, -3426.01, -3412.85, -3412.85, -3412.85, -3412.85, -3412.41, -3411.06, -3411.06, -3411.06, -3411.06, -3411.06]","[-1042.67, -1034.27, -1028.15, -1023.62, -1011.01, -1004.43, -985.78, -985.78, -981.61, -981.61, -977.13, -972.89, -971.76, -971.19, -964.91, -964.21, -958.3, -958.3, -956.99, -955.44, -950.97, -949.75, -946.07, -944.47, -941.91, -941.91, -938.25, -938.25, -936.0, -933.86, -933.29, -930.96, -929.0, -929.0, -927.49, -923.78, -922.2, -917.88, -917.88, -917.0, -914.67, -913.56, -913.4, -910.85, -910.69, -910.54, -910.54, -907.99, -905.98, -905.98, -905.98, -905.98, -904.52, -904.52, -898.53, -898.37, -898.21, -895.81, -895.81, -895.81, -895.28]","[-81.1, -81.1, -67.18, -67.18, -55.26, -52.96, -52.96, -51.31, -45.07, -45.07, -44.98, -44.36, -44.36, -44.36, -44.23, -44.14, -44.14, -44.14, -44.14, -44.14, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761040284.7690506
0.10425178091345433,0.37816373410265486,-3505.41,-923.07,-43.92,"[-3799.56, -3795.32, -3787.42, -3717.24, -3717.24, -3715.04, -3712.56, -3703.15, -3687.09, -3686.18, -3684.22, -3680.26, -3664.66, -3647.91, -3630.49, -3630.49, -3630.49, -3630.04, -3611.06, -3609.74, -3609.74, -3602.57, -3576.98, -3576.98, -3576.75, -3566.5, -3566.5, -3560.47, -3560.24, -3560.24, -3560.24, -3560.24, -3560.24, -3560.24, -3555.63, -3552.1, -3534.25, -3534.25, -3527.56, -3526.88, -3526.88, -3526.88, -3523.3, -3523.3, -3523.08, -3521.3, -3521.08, -3520.62, -3520.62, -3520.62, -3520.62, -3520.62, -3516.98, -3514.97, -3514.97, -3508.94, -3508.94, -3508.94, -3508.94, -3505.41, -3505.41]","[-1042.67, -1037.65, -1029.08, -1029.08, -1015.0, -1015.0, -1015.0, -1015.0, -1015.0, -1014.73, -1010.99, -1006.81, -1006.81, -993.59, -993.59, -993.59, -993.59, -993.59, -990.99, -990.99, -983.92, -983.92, -983.92, -983.36, -981.08, -979.48, -979.48, -973.04, -972.88, -972.74, -972.74, -969.36, -963.52, -963.52, -960.02, -960.02, -958.71, -953.95, -953.95, -950.5, -950.5, -950.37, -947.42, -946.96, -942.22, -942.22, -941.7, -941.7, -941.7, -939.14, -937.21, -933.68, -928.59, -928.59, -928.19, -928.19, -925.47, -924.94, -923.07, -923.07, -923.07]","[-81.1, -78.21, -68.28, -68.28, -62.04, -62.04, -62.04, -55.34, -55.34, -52.6, -51.49, -51.49, -48.66, -45.25, -45.25, -45.03, -45.03, -44.14, -44.14, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761040778.470184
0.3627080463436102,0.02954424977086989,-3480.73,-917.0,-43.92,"[-3799.56, -3799.56, -3793.74, -3752.9, -3752.9, -3724.83, -3724.83, -3724.83, -3696.63, -3696.63, -3696.63, -3679.72, -3663.3, -3663.3, -3653.33, -3653.33, -3653.33, -3653.33, -3653.33, -3641.71, -3641.71, -3621.64, -3621.64, -3616.6, -3616.6, -3606.36, -3606.36, -3606.36, -3600.85, -3600.85, -3600.85, -3580.13, -3574.41, -3574.41, -3574.41, -3559.29, -3559.29, -3559.07, -3558.5, -3558.15, -3554.29, -3554.29, -3554.29, -3547.56, -3547.56, -3547.56, -3547.56, -3547.56, -3547.56, -3547.56, -3547.56, -3517.56, -3517.56, -3517.56, -3516.3, -3497.06, -3496.61, -3496.61, -3496.61, -3480.73, -3480.73]","[-1042.67, -1040.13, -1040.13, -1035.1, -1027.81, -1013.18, -1009.56, -1001.85, -1001.85, -995.91, -991.99, -991.99, -988.8, -987.83, -980.29, -979.31, -977.77, -977.77, -975.93, -974.71, -964.49, -964.49, -964.49, -964.49, -964.49, -957.61, -957.61, -957.61, -945.12, -945.12, -945.12, -944.97, -944.04, -944.04, -944.04, -937.8, -937.8, -930.87, -930.87, -930.87, -930.87, -930.87, -927.25, -927.25, -925.77, -925.77, -925.77, -925.3, -925.13, -924.75, -924.75, -924.75, -924.75, -924.75, -924.37, -924.21, -923.01, -919.0, -917.0, -917.0, -917.0]","[-81.1, -70.93, -70.93, -70.93, -70.93, -67.18, -67.18, -64.69, -64.69, -59.08, -59.08, -58.44, -58.44, -58.44, -58.44, -52.83, -52.83, -52.83, -52.83, -52.83, -52.83, -46.59, -46.59, -46.59, -46.59, -46.59, -46.59, -46.59, -46.37, -46.37, -46.37, -45.56, -44.23, -44.23, -44.14, -44.14, -44.14, -44.14, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761041105.0262725
0.6174025741667927,0.7084372570641326,-3413.06,-901.87,-43.92,"[-3799.56, -3799.56, -3780.68, -3744.85, -3732.49, -3700.58, -3700.58, -3697.48, -3674.07, -3666.36, -3642.95, -3642.95, -3576.04, -3576.04, -3576.04, -3575.82, -3575.82, -3556.06, -3553.9, -3541.22, -3541.22, -3541.22, -3528.72, -3528.72, -3526.47, -3505.72, -3505.72, -3505.72, -3503.61, -3503.61, -3496.59, -3496.59, -3484.15, -3484.15, -3484.15, -3483.93, -3474.99, -3470.93, -3463.31, -3463.31, -3463.31, -3462.85, -3454.48, -3454.48, -3454.48, -3446.85, -3444.44, -3437.27, -3437.27, -3437.27, -3437.27, -3437.27, -3437.27, -3428.12, -3419.13, -3419.13, -3419.13, -3419.13, -3419.13, -3415.24, -3413.06]","[-1042.67, -1035.77, -1021.65, -1005.49, -1005.49, -1005.49, -1003.24, -1002.48, -995.37, -984.87, -971.72, -971.72, -967.88, -966.28, -963.72, -963.72, -957.14, -957.14, -951.41, -951.41, -946.83, -946.12, -946.12, -946.12, -944.24, -940.8, -938.23, -932.5, -932.5, -930.99, -930.99, -927.39, -926.95, -926.95, -925.13, -922.85, -919.65, -919.65, -919.65, -919.65, -919.65, -918.72, -918.72, -916.16, -911.37, -911.37, -911.37, -911.37, -911.37, -911.37, -910.49, -907.83, -907.83, -907.63, -907.63, -905.09, -905.09, -901.87, -901.87, -901.87, -901.87]","[-81.1, -81.1, -73.44, -67.87, -52.2, -47.51, -47.51, -47.51, -47.51, -46.99, -45.25, -45.25, -45.25, -45.25, -45.03, -45.03, -44.01, -44.01, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761041665.9906898
0.9190271882231603,0.4263341474654624,-3526.37,-936.23,-43.92,"[-3799.56, -3799.56, -3799.56, -3778.1, -3778.1, -3724.18, -3724.18, -3699.47, -3699.47, -3679.35, -3679.35, -3674.67, -3645.49, -3645.49, -3645.49, -3645.49, -3645.49, -3625.23, -3625.23, -3624.66, -3616.46, -3616.46, -3616.46, -3616.46, -3616.46, -3616.46, -3616.46, -3614.58, -3614.58, -3608.07, -3608.07, -3608.07, -3606.76, -3601.45, -3599.71, -3594.85, -3594.85, -3594.85, -3594.85, -3582.36, -3582.36, -3582.36, -3562.03, -3562.03, -3562.03, -3562.03, -3562.03, -3562.03, -3533.44, -3533.44, -3533.44, -3533.44, -3526.37, -3526.37, -3526.37, -3526.37, -3526.37, -3526.37, -3526.37, -3526.37, -3526.37]","[-1042.67, -1024.95, -1017.09, -1009.58, -1009.58, -1003.26, -1003.26, -1003.26, -999.71, -991.44, -991.44, -990.36, -980.43, -980.43, -980.43, -979.77, -979.77, -979.77, -979.77, -974.14, -974.14, -974.14, -974.14, -968.22, -968.22, -964.54, -963.58, -963.58, -963.58, -960.87, -952.06, -952.06, -951.19, -951.19, -951.19, -951.19, -951.19, -951.19, -947.33, -947.13, -947.13, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23, -936.23]","[-81.1, -81.1, -71.75, -60.29, -57.76, -55.96, -52.26, -52.26, -52.26, -46.09, -46.09, -46.09, -46.09, -46.09, -46.09, -46.09, -45.87, -45.87, -44.36, -44.36, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -44.14, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761042028.1095374
0.36865831064162125,0.7737321692591247,-3404.69,-885.28,-43.92,"[-3799.56, -3799.56, -3768.16, -3768.16, -3768.16, -3740.98, -3707.65, -3674.49, -3674.49, -3631.69, -3631.69, -3594.7, -3594.7, -3590.9, -3581.71, -3581.71, -3581.71, -3578.11, -3578.11, -3557.38, -3557.38, -3539.52, -3538.17, -3538.17, -3532.83, -3518.77, -3518.77, -3497.06, -3497.06, -3493.1, -3480.4, -3479.72, -3479.72, -3467.92, -3467.92, -3467.92, -3467.92, -3465.5, -3460.99, -3460.99, -3458.99, -3454.32, -3454.32, -3448.6, -3446.96, -3436.3, -3435.86, -3434.07, -3430.93, -3430.93, -3430.93, -3429.57, -3425.73, -3423.95, -3423.95, -3416.18, -3415.95, -3415.95, -3415.02, -3413.4, -3404.69]","[-1042.67, -1037.32, -1018.66, -1013.78, -1011.35, -1009.67, -997.43, -993.08, -985.41, -982.17, -979.82, -977.27, -967.01, -967.01, -960.62, -960.62, -949.24, -945.63, -939.95, -934.29, -934.29, -932.48, -932.17, -927.22, -925.66, -923.48, -922.82, -918.88, -913.69, -913.42, -911.83, -911.83, -908.97, -907.29, -907.29, -905.15, -905.15, -904.33, -900.1, -894.93, -894.93, -892.13, -886.62, -886.62, -886.62, -886.62, -886.29, -886.29, -886.29, -886.29, -886.29, -886.09, -886.09, -886.09, -885.68, -885.68, -885.68, -885.68, -885.68, -885.48, -885.28]","[-81.1, -81.1, -72.62, -72.62, -67.18, -60.93, -60.93, -53.9, -51.72, -51.72, -51.49, -46.17, -45.95, -45.25, -45.25, -45.25, -44.98, -44.98, -44.14, -44.14, -44.14, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92, -43.92]",1761042635.9417388
